gen,mod,student,instructor,word_count,mean_word_length,different_words,valid_sentences_count,mean_words_per_sentence,mean_different_words_per_bucket
gen2,mod1_pro,moralesam,mdrlp,5197,4.885126034250529,1315,143,35.88811188811189,358.0
gen3,mod1_pro,martinezmdj,ado,5055,4.422551928783383,929,85,59.38823529411765,319.0
gen3,mod1_pro,dominguezpe,nss,12240,4.704901960784314,1834,651,17.94009216589862,356.0
gen3,mod1_pro,lopezca,grp,4000,5.01825,1026,135,29.57777777777778,351.0
gen3,mod1_pro,fragosomdca,rias,7181,4.718005848767581,1126,320,22.140625,358.0
gen3,mod3_pro,parrillacp,rsp,19764,5.073618700667881,2112,985,19.836548223350253,194.0
gen3,mod1_pro,martinezmm,ado,6558,5.000457456541628,1469,316,19.82278481012658,381.0
gen2,mod3_pro,suarezja,rsp,18622,5.142143700998819,2913,916,20.050218340611355,358.0
gen2,mod3_pro,rosiquela,mdrlp,15980,5.203817271589487,2419,803,19.158156911581568,313.0
gen3,mod3_pro,gonzalezjp,grdlr,9547,4.97674662197549,1728,459,20.455337690631808,338.0
gen3,mod3_pro,rodriguezv,mdrlp,5566,5.061444484369385,1054,267,20.636704119850187,340.0
gen3,mod3_pro,ruizg,mdrlp,16891,4.9203717956308095,2527,744,22.147849462365592,371.0
gen2,mod1_pro,palominogl,grdlr,7253,4.812353508892872,1421,322,22.341614906832298,392.0
gen3,mod3_pro,villedal,grdlr,11047,5.183398207658188,1828,419,25.86873508353222,340.0
gen3,mod1_pro,vazquezb,grp,1643,4.866098600121728,544,56,29.339285714285715,313.0
gen3,mod3_pro,ruizjf,rias,10326,4.859287236103041,1877,423,24.04964539007092,399.0
gen3,mod1_pro,sotoa,grp,7681,4.866033068610858,1299,296,25.77364864864865,367.0
gen2,mod3_pro,sanchezm,rias,12802,4.734338384627402,1627,645,19.49922480620155,351.0
gen2,mod1_pro,moguelcg,cva,4770,4.981341719077568,1156,161,29.012422360248447,307.0
gen3,mod3_pro,floressd,rsp,19575,4.99044699872286,1927,844,23.05924170616114,333.0
gen2,mod3_pro,whitem,rsp,18046,4.689349440319185,2806,1002,17.70758483033932,368.0
gen2,mod3_pro,quezadaa,grdlr,16889,4.789211913079519,2142,1009,16.41526263627354,363.0
gen3,mod1_pro,navarretej,mdrlp,6022,4.6262039189638,1130,209,28.641148325358852,335.0
gen3,mod3_pro,arzatet,grdlr,9152,5.209243881118881,2008,452,19.966814159292035,422.0
gen2,mod3_pro,jimenezm,rsp,8323,5.279826985461973,1358,410,19.848780487804877,347.0
gen2,mod3_pro,roblesjc,rias,13951,4.703175399612931,2451,313,43.97444089456869,326.0
gen2,mod3_pro,omezeg,rsp,15586,5.0063518542281535,2374,819,18.68742368742369,334.0
gen2,mod3_pro,zepedagg,rias,11413,4.777884868132831,1870,587,19.16695059625213,366.0
gen2,mod1_pro,mayam,rsp,5881,5.492943376976704,1320,282,20.5531914893617,341.0
gen3,mod1_pro,vazquezbs,mdrlp,4960,5.130645161290323,1159,244,19.733606557377048,393.0
gen2,mod1_pro,oteroad,grp,4476,4.861930294906166,1013,165,27.024242424242424,347.0
gen3,mod3_pro,perezb,ado,12951,5.1026947726044325,2142,514,25.060311284046694,384.0
gen3,mod3_pro,deleonle,nss,19353,5.128972252363974,2601,889,21.598425196850393,386.0
gen2,mod3_pro,valenciahm,cva,11366,4.961551997184586,2130,571,19.455341506129596,336.0
gen3,mod3_pro,garciafj,grp,9194,4.806721775070698,1639,373,24.632707774798927,383.0
gen2,mod1_pro,navarrorm,rsp,4554,4.96157224418094,1292,214,21.009345794392523,342.0
gen2,mod3_pro,hernandezl,nsrh,12798,4.9641350210970465,1756,614,20.423452768729643,367.0
gen2,mod3_pro,hinojosas,cva,2889,4.494980962270682,746,129,22.015503875968992,352.0
gen2,mod3_pro,ceballosi,cva,16360,4.353056234718826,1905,429,37.764568764568764,270.0
gen2,mod3_pro,palominogl,grdlr,12681,4.864758299818626,1906,593,21.047217537942664,346.0
gen2,mod3_pro,romanb,rsp,14984,5.114255205552589,2010,775,18.68258064516129,379.0
gen3,mod1_pro,quezadama,ado,3605,5.271567267683772,1097,102,35.127450980392155,376.0
gen3,mod1_pro,contrerasa,grdlr,5078,5.016738873572272,1176,237,21.122362869198312,357.0
gen2,mod3_pro,santoyoe,grdlr,10285,4.865629557608167,1766,370,27.583783783783783,370.0
gen3,mod1_pro,benavidesca,nss,8962,5.32660120508815,2107,374,22.815508021390375,394.0
gen3,mod1_pro,gonzalezd,grdlr,3599,5.141706029452625,1028,151,23.364238410596027,394.0
gen3,mod1_pro,torresd,grp,6246,5.016170349023375,1114,296,20.83108108108108,390.0
gen2,mod1_pro,ucop,grdlr,5945,4.731034482758621,1277,160,36.4875,363.0
gen3,mod3_pro,tellor,rias,15223,4.983117650922946,1882,561,26.614973262032084,306.0
gen2,mod3_pro,fragosol,ado,4868,5.415776499589153,1376,228,20.92105263157895,377.0
gen2,mod1_pro,jimenezm,rsp,5375,5.0829767441860465,1127,238,22.34873949579832,374.0
gen2,mod3_pro,navarrorm,rsp,4948,4.724130962004851,1034,328,13.625,352.0
gen3,mod3_pro,rivasle,grdlr,10135,5.226245683275777,1588,579,17.1433506044905,379.0
gen2,mod1_pro,ruelasji,rias,3168,4.701388888888889,893,180,17.272222222222222,375.0
gen2,mod1_pro,chavezfr,cva,4015,5.002988792029888,964,143,27.72027972027972,390.0
gen3,mod1_pro,velascoep,grp,5237,4.706893259499713,1068,163,31.98159509202454,358.0
gen3,mod1_pro,deaquinov,grdlr,4021,4.938572494404377,1067,147,26.993197278911566,390.0
