"","mod1","mod3","ratio"
"rubric.x",3.43900608689882e-05,0.000474517160517862,4.2749973978949
"total_term_appearance.x",109.551724137931,261.896551724138,2.3906188124663
"text.x",0.0005704950866853,0.00129217674484848,2.07634145647648
"validity.x",5.51459437401082e-06,0.000107396493551327,1.96557163283197
"feedback.x",0.000262289599592137,0.000579260904467643,1.87491141129182
"word.x",0.000362768390563925,0.000755950789993464,1.84963106263678
"decoding.x",0,7.58918893527333e-05,1.75891889352733
"sqrt_word_count.x",74.9465268413845,119.755390472087,1.59787698952129
"background.knowledge.x",8.91905849047295e-06,6.86091241545591e-05,1.54802223312743
"language.proficiency.x",0,4.94893634134468e-05,1.49489363413447
"fluency.x",9.33127925085564e-05,0.000175030799556347,1.42272425941068
"register.x",9.71939531382415e-06,5.25963230523284e-05,1.39078713126212
"content.schema.x",0,3.76297804140201e-05,1.3762978041402
"intonation.x",7.54317603218274e-05,0.000138704402555059,1.36066811458289
"strategies.x",0.000413663950915932,0.000587695337624158,1.33880397173659
"sentence.x",0.000182229399865097,0.000276026452287958,1.33234330820139
"scaffolding.x",1.41381898203498e-05,4.88649362234055e-05,1.30425177110058
"scanning.x",0,2.88832311406432e-05,1.28883231140643
"turns.x",4.50731795688125e-05,7.89226297030455e-05,1.23332672679292
"cues.x",1.00901979538526e-05,3.28785018932021e-05,1.2069966660329
"strategic.competence.x",0,2.01123116768638e-05,1.20112311676864
"skimming.x",0,1.88297960857423e-05,1.18829796085742
"schema.theory.x",0,1.87951970434113e-05,1.18795197043411
"comprehensible.x",9.27838261081283e-05,0.000129015172930869,1.18793768934962
"collocations.x",0,1.84239953029111e-05,1.18423995302911
"inferring.x",0,1.83748938327993e-05,1.18374893832799
"inference.x",6.63512769303245e-06,2.47533174139256e-05,1.16990826674911
"receptive.skill.x",0,1.61878868051034e-05,1.16187886805103
"linguistic.competence.x",5.50782187433346e-05,7.89501568265828e-05,1.15393482254757
"pitch.x",0,1.49796603156878e-05,1.14979660315688
"routines.x",2.93536633809146e-05,4.851750233545e-05,1.14815072456126
"controlled.writing.x",0,1.31474849473783e-05,1.13147484947378
"sociolinguistic.competence.x",5.51547642685375e-06,1.92901506162834e-05,1.13054648148207
