"","mod1","mod3","ratio"
"total_term_appearance.x",109.551724137931,261.896551724138,0.418301514153889
"total_term_appearance_normalized.x",0.0191390848717492,0.0179103147429807,1.06860683575588
"language.system.x",2.37523082189219e-05,2.74259315751458e-05,0.866049765670324
"language.as.social.practice.x",7.30257488790548e-06,7.1855666718515e-06,1.01626964085489
"target.language.x",0.000641553827435804,0.000328643391220648,1.95212698432866
"common.european.framework.of.reference.for.languages.x",5.41785822845211e-05,2.93508863052504e-05,1.84588625816739
"language.competence.x",0,7.73772270093855e-06,0
"language.performance.x",1.0701090531666e-05,1.00806332426453e-05,1.06153890536418
"language.functions.x",9.45862540006494e-05,3.03083665632874e-05,3.12078652356571
"pragmatics.x",2.22477011862446e-05,1.11614020978031e-05,1.99325332659514
"sociolinguistics.x",7.91615211677908e-06,9.23073260428917e-06,0.85757725831804
"structuralism.x",0.000165037736455486,5.76188724878443e-05,2.86429502869569
"generative.linguistics.x",6.42936254557752e-05,2.22250157503583e-05,2.89283647284216
"language.in.use.x",1.9955409100961e-05,1.99872413026916e-05,0.998402378723264
"text.types.x",5.39467437745458e-06,1.02211246059327e-05,0.527791393442558
"linguistic.form.x",1.16013464120475e-05,5.26074207944233e-06,2.20522612860435
"form.x",0.000809736323362324,0.000822768265671832,0.984160739701184
"meaning.and.use.x",5.19093731740735e-05,2.76070635760849e-05,1.88028636230637
"displacement.x",8.20432039512007e-06,2.71924600746705e-06,3.01701967038833
"arbitrary.nature.of.language.x",0,2.96727980558383e-06,0
"creative.nature.of.language.x",0,0,0
"conventional.nature.of.language.x",0,0,0
"polysemy.x",0,0,0
"X.x",0,0,0
"communities.of.practice.x",5.51635876190844e-06,1.01730365270369e-05,0.542247589742625
"English.as.lingua.franca.x",0,0,0
"communication.models.x",0,2.71946045904493e-06,0
"communication.strategies.x",2.62268663171828e-09,4.6846498941476e-09,0.54814598554562
"accent.x",6.46538829226741e-05,4.29665332374516e-05,1.50474631245529
"dialect.x",5.51459437401082e-06,4.89263006332494e-06,1.12709965655928
"mutual.intelligibility.x",0,0,0
"language.variation.x",0,2.13396612542173e-06,0
"stereotype.x",0,0,0
"units.of.language.x",0,0,0
"sentence.x",0.000182229399865097,0.000276026452287958,0.660187936104751
"text.x",0.0005704950866853,0.00129217674484848,0.441499233606987
"genres.x",5.3938305366322e-06,1.59465562554074e-05,0.338242102309265
"exemplars.x",0,0,0
"communicative.purpose.x",3.86389673942782e-05,4.2109904972257e-06,9.17552529914373
"domain.of.discourse.x",0,1.91103738753545e-06,0
"coherence.x",4.53134489432228e-05,3.0846070068163e-05,1.46901378171392
"cohesion.x",2.52920145941638e-05,2.67266799332281e-05,0.946317313845934
"cohesive.devices.x",0,4.81587909463953e-06,0
"texture.x",4.0793515462782e-06,0,40793.515462782
"parallelism.x",0,2.07689927246218e-06,0
"referring.expressions.x",0,0,0
"repetition.and.lexical.chains.x",0,0,0
"substitution.x",2.22501787045886e-05,0,222501.787045886
"ellipsis.x",0,0,0
"conjunctions.and.discourse.markers.x",0,0,0
"speech.acts.x",0,1.77316597010797e-06,0
"locutionary.x",0,0,0
"illocutionary.and.perlocutionary.acts.x",0,0,0
"discourse.analysis.x",3.18131046780432e-09,1.31360146276624e-09,2.25050026588039
"language.media.x",0,0,0
"spoken.discourse.x",0,2.13396612542173e-06,0
"written.discourse.x",5.39467437745458e-06,9.29812312823327e-06,0.580183364397237
"context.dependent.x",0,0,0
"intonation.x",7.54317603218274e-05,0.000138704402555059,0.543830653888722
"stress.patterns.x",0,0,0
"maxims.of.conversation.x",0,0,0
"cooperative.principle.x",0,0,0
"conversational.analysis.x",0,0,0
"principles.of.politeness.x",0,0,0
"deictics.x",0,0,0
"conversational.turn.x",0,0,0
"comprehension.strategies.x",7.55538094230711e-06,1.31549824565302e-05,0.574331705428165
"communication.strategies.1.x",2.62268663171828e-09,4.6846498941476e-09,0.54814598554562
"previous.knowledge.x",0.00017829160487489,0.000185484275442034,0.961221690236696
"inference.x",6.63512769303245e-06,2.47533174139256e-05,0.268048955911022
"learning.strategies.x",4.75836155588356e-05,3.35840556331812e-05,1.41684716086246
"language.proficiency.x",0,4.94893634134468e-05,0
"language.competences.x",0,2.13396612542173e-06,0
"communicative.competence.x",0.000208750989566243,0.000179651552979445,1.16197644777656
"linguistic.competence.x",5.50782187433346e-05,7.89501568265828e-05,0.697631913526463
"sociolinguistic.competence.x",5.51547642685375e-06,1.92901506162834e-05,0.285920413195565
"discursive.competence.x",0,0,0
"strategic.competence.x",0,2.01123116768638e-05,0
"pragmatic.competence.x",5.39467437745458e-06,1.58252569148108e-05,0.340888006917921
"intercultural.competence.x",1.54584558859749e-09,1.24740927583279e-08,0.122938936296113
"phonetics.x",1.43462555427655e-05,1.90183133677475e-05,0.754335036543832
"morphology.and.lexicn.x",0,0,0
"syntax.x",0.00011942358272422,7.05959004811595e-05,1.69164799578259
"semantics.x",1.19955036630573e-05,1.50897553077114e-05,0.794938282604156
"second.language.acquisition.x",0.000283072844786827,0.000168150470980724,1.68344860880239
"behaviorism.x",0.000141783066810581,6.622018292817e-05,2.1410821660846
