"","mod1","mod3","ratio"
"total_term_appearance.x",109,275.548387096774,0.395574806836663
"total_term_appearance_normalized.x",0.0206830987608545,0.0199084333935964,1.03891141246785
"language.system.x",0.000111342028219366,2.69802220324165e-05,4.12678648110982
"language.as.social.practice.x",5.71546146635879e-06,3.18378054837436e-06,1.79512433947216
"target.language.x",0.000680318786113702,0.00046424860418133,1.46541881535975
"common.european.framework.of.reference.for.languages.x",3.66975317940762e-05,1.65786660080888e-05,2.21352613193113
"language.competence.x",2.67410987616725e-05,1.45851667621062e-05,1.83343227092344
"language.performance.x",3.19332483113373e-05,3.20876180014558e-05,0.995186018210721
"language.functions.x",9.09266538442563e-05,4.18486411324403e-05,2.17274525789192
"pragmatics.x",2.48251291464473e-05,1.57281735467008e-05,1.57837597831293
"sociolinguistics.x",3.30200248106564e-05,1.59236682054967e-05,2.07363134055533
"structuralism.x",0.000171665057758741,7.56793850162556e-05,2.26831693849222
"generative.linguistics.x",0.000108306397168501,4.5602321408175e-05,2.37501417302121
"language.in.use.x",3.64066135896639e-05,1.20634210554307e-05,3.01790939994875
"text.types.x",9.95619275189168e-06,9.06577737535239e-06,1.09820509804818
"linguistic.form.x",9.95619275189168e-06,3.52508627648662e-06,2.82430259595091
"form.x",0.000713078086013456,0.000612186320970956,1.16480546053681
"meaning.and.use.x",4.43738776507684e-05,1.37861649720726e-05,3.21870192838005
"displacement.x",0,0,0
"arbitrary.nature.of.language.x",1.56849012453698e-05,9.15897736663012e-06,1.7124979533982
"creative.nature.of.language.x",0,0,0
"conventional.nature.of.language.x",0,0,0
"polysemy.x",0,0,0
"X.x",0,0,0
"communities.of.practice.x",1.90230494407865e-05,6.45118136097754e-06,2.94872419545254
"English.as.lingua.franca.x",0,0,0
"communication.models.x",2.39391944461069e-05,0,239391.944461069
"communication.strategies.x",0,2.55402486027123e-09,0
"accent.x",1.82200360506729e-05,2.80053403133718e-05,0.65058916577624
"dialect.x",1.19673769304875e-05,5.11667293459101e-06,2.33885245319061
"mutual.intelligibility.x",0,0,0
"language.variation.x",0,1.09049945965752e-06,0
"stereotype.x",0,1.49277236556042e-05,0
"units.of.language.x",4.92038812021492e-06,0,49203.8812021492
"sentence.x",0.000134900051134387,0.000407897327276784,0.33072052460593
"text.x",0.000651406581522847,0.0011178318935902,0.582741042713127
"genres.x",1.14390299702585e-05,2.68068176404385e-05,0.426719331319264
"exemplars.x",0,1.74859413031922e-06,0
"communicative.purpose.x",2.51703736275112e-05,1.72813109756433e-05,1.45649991560219
"domain.of.discourse.x",1.5680810501014e-05,0,156808.10501014
"coherence.x",3.10533313879022e-05,2.63129495374924e-05,1.18014946704127
"cohesion.x",3.10533313879022e-05,2.3915488572128e-05,1.2984556618478
"cohesive.devices.x",2.31142323054084e-05,1.10568012302301e-05,2.09048012857463
"texture.x",9.95312080102716e-06,0,99531.2080102716
"parallelism.x",9.95312080102716e-06,7.47666346416248e-06,1.33120712574824
"referring.expressions.x",9.95619275189168e-06,0,99561.9275189168
"repetition.and.lexical.chains.x",9.96234234593238e-06,0,99623.4234593238
"substitution.x",1.88486388019796e-05,2.6745762802528e-06,7.04707292659659
"ellipsis.x",9.95312080102716e-06,0,99531.2080102716
"conjunctions.and.discourse.markers.x",0,0,0
"speech.acts.x",9.95619275189168e-06,2.9203389929503e-06,3.40914252135556
"locutionary.x",0,0,0
"illocutionary.and.perlocutionary.acts.x",0,0,0
"discourse.analysis.x",6.14579799499486e-09,0,61.4579799499486
"language.media.x",0,0,0
"spoken.discourse.x",1.99123855037834e-05,8.34578626938435e-06,2.3858922660891
"written.discourse.x",7.60086345808884e-06,1.24548511645286e-05,0.610268427204751
"context.dependent.x",0,0,0
"intonation.x",9.63669973006019e-05,0.000136225938310053,0.707405122369255
"stress.patterns.x",0,6.05895338622077e-06,0
"maxims.of.conversation.x",0,0,0
"cooperative.principle.x",9.95619275189168e-06,0,99561.9275189168
"conversational.analysis.x",6.14579799499486e-09,0,61.4579799499486
"principles.of.politeness.x",0,0,0
"deictics.x",0,0,0
"conversational.turn.x",0,0,0
"comprehension.strategies.x",9.95619275189168e-06,4.35990033191917e-05,0.228357741190267
"communication.strategies.1.x",0,2.55402486027123e-09,0
"previous.knowledge.x",0.000184231705525676,0.000214795052758792,0.857708859624787
"inference.x",7.5990729131046e-06,1.36866769118371e-05,0.555212740154515
"learning.strategies.x",8.52744285109319e-05,0.000114721979204573,0.743313136426601
"language.proficiency.x",5.75639075600093e-05,3.47611741929137e-05,1.65597806457118
"language.competences.x",1.38380296371058e-05,0,138380.296371058
"communicative.competence.x",0.000202207359374661,0.00021997203864531,0.919240775763456
"linguistic.competence.x",5.04000649990162e-05,6.0147515909142e-05,0.837939529891752
"sociolinguistic.competence.x",1.41795580983343e-05,3.4690556097971e-06,4.08732259178298
"discursive.competence.x",1.04775652572271e-05,0,104775.652572271
"strategic.competence.x",2.76980842616982e-05,1.2778464969438e-05,2.16754262532159
"pragmatic.competence.x",4.49276664570042e-06,8.7610169788509e-06,0.512807517185975
"intercultural.competence.x",0,3.51248675449447e-08,0
"phonetics.x",3.52202005049888e-05,1.45192190501949e-05,2.42574740476662
"morphology.and.lexicn.x",0,0,0
"syntax.x",6.14194577604333e-05,5.9662874289375e-05,1.02944009231821
"semantics.x",0,1.07065228789235e-05,0
"second.language.acquisition.x",0.00045652912326241,0.000331264677879407,1.37813964462169
"behaviorism.x",0.000223064155993614,6.87529606502227e-05,3.2444251046283
"constructivism.x",7.08333200118044e-05,4.31343553149213e-05,1.6421517205829
"sociocultural.theory.x",0.000124154598371831,9.36843952042615e-05,1.32524168594959
"contrastive.analysis.x",8.48962436141528e-05,2.34739772878329e-05,3.61659555658685
"cross.linguistic.influence.x",2.57921793237835e-05,2.42998602758034e-06,10.6136898163498
"acquisition.learning.dichotomy.x",2.44119256655934e-05,8.51038587755726e-06,2.86845263793567
"comprehensible.x",0.000208041360206606,0.000150514257476286,1.38220275922437
"input.x",3.4926249065361e-07,1.34705093176112e-07,2.59087014017583
"information.processing.x",1.65514917921979e-05,5.86939353856547e-06,2.81991822351391
"monitor.hypothesis.x",7.4290747009077e-05,3.74294905510841e-05,1.98481324308597
"monitor.model.x",2.17930697248468e-05,1.51237315615831e-05,1.44097543245619
"natural.order.hypothesis.x",6.04662031504655e-05,3.64517350354851e-05,1.65879723453162
"affective.filter.hypothesis.x",6.3067258588736e-05,3.17082560065204e-05,1.98897913773161
"input.hypothesis.x",7.27225032951476e-05,5.68260174838277e-05,1.27973732000684
"input.1.x",3.4926249065361e-07,1.34705093176112e-07,2.59087014017583
"intake.x",6.88344324770105e-05,0.000123212422443142,0.558664258405836
"confirmation.checks.x",9.75441371320043e-06,4.06204832457597e-06,2.40129432354458
"interaction.x",0.000789271817712417,0.000781802701145945,1.00955358122985
"hypothesis.x",0.000526294416158717,0.000311304426867888,1.69060958237227
"interactional.modifications.x",3.15578961594256e-05,7.05017255297323e-06,4.4761242806304
"negotiation.of.meaning.x",3.77808784807086e-05,1.85004123623132e-05,2.04215308964474
"recasts.x",1.48947427503506e-05,4.72524085675992e-06,3.15209911874245
"reformulations.x",5.87150792066418e-06,2.42961998313844e-06,2.41653686902638
"modified.input.x",2.34903073119454e-05,8.92165430772286e-06,2.63292470311715
"foreigner.talk.x",5.87257682798635e-06,2.42980299157344e-06,2.41679476438015
"noticing.x",6.91093310720024e-05,1.65423616539455e-05,4.17769329122303
"acoustically.salient.sound.x",0,0,0
"focus.on.form.x",5.18310941278539e-05,2.87614376405123e-05,1.80209746696041
"contextual.x",1.6044797073429e-05,1.94624603872647e-05,0.824392924372269
"cues.x",4.09054837891568e-06,2.31067475335781e-05,0.177027540125126
"collaborative.dialogue.x",0,3.79181204636389e-10,0
"hypothesis.testing.x",0,0,0
"metalinguistic.x",1.26684374326989e-05,9.11631044683596e-06,1.38962999818594
"output.x",0.000203041041244561,0.000124479011951376,1.63112539976886
"tense.markings.x",0,0,0
"artifacts.x",1.74227184355023e-05,1.10963089937819e-05,1.57012223010755
"genetic.method.x",0,0,0
"mediation.x",5.78091558762256e-05,4.8610356819111e-05,1.18923292762594
"symbolic.tools.x",1.73136353547212e-05,2.42980299157344e-06,7.12523726863272
"private.speech.x",1.434648188398e-05,1.11902740913946e-05,1.28203773768496
"intramental.plane.x",0,2.67479805274702e-06,0
"intermental.plane.x",0,2.67479805274702e-06,0
"product.oriented.theories.x",0,0,0
"zone.of.proximal.development.x",0.000163663392414625,0.000129084087725589,1.26788102631552
"contextual.cues.x",0,0,0
"collaborative.dialogue.1.x",0,3.79181204636389e-10,0
"hypothesis.testing.1.x",0,0,0
"critical.period.x",7.92581437742728e-06,3.56560898818714e-06,2.22278778321079
"rate.of.acquisition.x",0,0,0
"instrumental.motivation.x",1.76185227633291e-05,2.49360309320943e-05,0.706545967829076
"intrinsic.motivation.x",2.66397541419668e-05,2.18634009367652e-05,1.21845784071891
"resultative.hypothesis.x",0,0,0
"good.learners.habits.x",0,0,0
"direct.learning.x",0,0,0
"strategies.x",0.000754232166206599,0.000952451438070225,0.791885083974728
"indirect.learning.strategies.x",0,0,0
"learning.styles.x",0.000166552811557548,0.00010313002225038,1.61497735019832
"strategic.investment.x",0,1.94959896749239e-06,0
"large.clases.x",0,0,0
"EFL.x",0,0,0
"monolingual.clases.x",0,0,0
"approach.x",0.00144374158405712,0.00105731696006929,1.36547648627036
"method.x",0.00122301731401377,0.000568820534606959,2.1500930866526
"technique.x",0.000117589227901468,9.09279930283531e-05,1.29321119562908
"grammar.translation.method.x",0.000147299186874429,4.37312331001182e-05,3.36827570605277
"direct.method.x",0.000210865467551645,6.41846541767963e-05,3.2852890107021
"audiolingual.method.x",4.51847856247612e-05,2.56786023816432e-05,1.75962106469454
