"","mod1","mod3","ratio"
"language.proficiency.x",0,0.448275862068966,4483.75862068965
"decoding.x",0,0.310344827586207,3104.44827586207
"scanning.x",0,0.241379310344828,2414.79310344828
"content.schema.x",0,0.206896551724138,2069.96551724138
"receptive.skill.x",0,0.172413793103448,1725.13793103448
"pitch.x",0,0.172413793103448,1725.13793103448
"strategic.competence.x",0,0.137931034482759,1380.31034482759
"inferring.x",0,0.137931034482759,1380.31034482759
"schema.theory.x",0,0.137931034482759,1380.31034482759
"controlled.writing.x",0,0.137931034482759,1380.31034482759
"language.competence.x",0,0.103448275862069,1035.48275862069
"skimming.x",0,0.103448275862069,1035.48275862069
"ethnocentrism.x",0,0.103448275862069,1035.48275862069
"cohesive.devices.x",0,0.0689655172413793,690.655172413793
"collaborative.dialogue.x",0,0.0689655172413793,690.655172413793
"hypothesis.testing.x",0,0.0689655172413793,690.655172413793
"collaborative.dialogue.1.x",0,0.0689655172413793,690.655172413793
"hypothesis.testing.1.x",0,0.0689655172413793,690.655172413793
"direct.learning.x",0,0.0689655172413793,690.655172413793
"collocations.x",0,0.0689655172413793,690.655172413793
"reduction.x",0,0.0689655172413793,690.655172413793
"summative.testing.x",0,0.0689655172413793,690.655172413793
"arbitrary.nature.of.language.x",0,0.0344827586206897,345.827586206897
"communication.models.x",0,0.0344827586206897,345.827586206897
"language.variation.x",0,0.0344827586206897,345.827586206897
"domain.of.discourse.x",0,0.0344827586206897,345.827586206897
"parallelism.x",0,0.0344827586206897,345.827586206897
"speech.acts.x",0,0.0344827586206897,345.827586206897
"spoken.discourse.x",0,0.0344827586206897,345.827586206897
"language.competences.x",0,0.0344827586206897,345.827586206897
"cross.linguistic.influence.x",0,0.0344827586206897,345.827586206897
"metalinguistic.x",0,0.0344827586206897,345.827586206897
"learner.centered.instruction.x",0,0.0344827586206897,345.827586206897
"activation.tasks.x",0,0.0344827586206897,345.827586206897
"engaged.learning.x",0,0.0344827586206897,345.827586206897
"bottom.up.approach.x",0,0.0344827586206897,345.827586206897
"content.based.approach.x",0,0.0344827586206897,345.827586206897
"phonics.instruction.x",0,0.0344827586206897,345.827586206897
"strategies.for.reading.comprehension.x",0,0.0344827586206897,345.827586206897
"difficulty.level.x",0,0.0344827586206897,345.827586206897
"casual.style.x",0,0.0344827586206897,345.827586206897
"falling.intonation.x",0,0.0344827586206897,345.827586206897
"intelligibility.x",0,0.0344827586206897,345.827586206897
"native.like.x",0,0.0344827586206897,345.827586206897
"norm.x",0,0.0344827586206897,345.827586206897
"formative.testing.x",0,0.0344827586206897,345.827586206897
"validity.x",0.0344827586206897,0.517241379310345,14.9595173995413
"intercultural.competence.x",0.0344827586206897,0.379310344827586,10.9710838568152
"intercultural.competence.1.x",0.0344827586206897,0.379310344827586,10.9710838568152
"rubric.x",0.137931034482759,0.896551724137931,6.49601538884309
"register.x",0.0689655172413793,0.448275862068966,6.49203654700684
"background.knowledge.x",0.0689655172413793,0.413793103448276,5.99276049727894
"communication.strategies.x",0.0344827586206897,0.206896551724138,5.98554192840762
"communication.strategies.1.x",0.0344827586206897,0.206896551724138,5.98554192840762
"genres.x",0.0344827586206897,0.172413793103448,4.98843354272609
"artifacts.x",0.0344827586206897,0.172413793103448,4.98843354272609
"cues.x",0.0689655172413793,0.310344827586207,4.49493234809526
"sociolinguistics.x",0.0344827586206897,0.137931034482759,3.99132515704457
"communities.of.practice.x",0.0344827586206897,0.137931034482759,3.99132515704457
"written.discourse.x",0.0344827586206897,0.137931034482759,3.99132515704457
"inference.x",0.0344827586206897,0.137931034482759,3.99132515704457
"pragmatic.competence.x",0.0344827586206897,0.137931034482759,3.99132515704457
"interactional.modifications.x",0.0344827586206897,0.137931034482759,3.99132515704457
"cohesion.x",0.0689655172413793,0.241379310344828,3.49638024863947
"semantics.x",0.0689655172413793,0.206896551724138,2.99710419891158
"text.types.x",0.0344827586206897,0.103448275862069,2.99421677136305
"sociolinguistic.competence.x",0.0344827586206897,0.103448275862069,2.99421677136305
"mediation.x",0.0344827586206897,0.103448275862069,2.99421677136305
"symbolic.tools.x",0.0344827586206897,0.103448275862069,2.99421677136305
"computer.assisted.language.learning.x",0.0344827586206897,0.103448275862069,2.99421677136305
"instructional.materials.x",0.0344827586206897,0.103448275862069,2.99421677136305
"critical.reading.x",0.0344827586206897,0.103448275862069,2.99421677136305
"word.parts.x",0.0344827586206897,0.103448275862069,2.99421677136305
"turns.x",0.206896551724138,0.586206896551724,2.83244765030235
"coherence.x",0.103448275862069,0.275862068965517,2.66505711145892
"pragmatics.x",0.0689655172413793,0.172413793103448,2.49782814918368
"recasts.x",0.0689655172413793,0.172413793103448,2.49782814918368
"language.system.x",0.103448275862069,0.241379310344828,2.33204568916714
"scaffolding.x",0.103448275862069,0.241379310344828,2.33204568916714
"moves.x",0.103448275862069,0.241379310344828,2.33204568916714
"intonation.x",0.275862068965517,0.620689655172414,2.24954703919829
"transformation.x",0.137931034482759,0.310344827586207,2.24909440655525
"fluency.x",0.310344827586207,0.689655172413793,2.22182852192071
"sentence.x",0.448275862068966,0.96551724137931,2.15358881480285
"intrinsic.motivation.x",0.172413793103448,0.344827586206897,1.999420336205
"stress.x",0.172413793103448,0.344827586206897,1.999420336205
"contextual.x",0.137931034482759,0.275862068965517,1.9992755252442
"language.in.use.x",0.103448275862069,0.206896551724138,1.99903426687535
"language.performance.x",0.0689655172413793,0.137931034482759,1.99855209945579
"information.processing.x",0.0689655172413793,0.137931034482759,1.99855209945579
"collaborative.learning.x",0.0689655172413793,0.137931034482759,1.99855209945579
"language.as.social.practice.x",0.0344827586206897,0.0689655172413793,1.99710838568152
"dialect.x",0.0344827586206897,0.0689655172413793,1.99710838568152
"discourse.analysis.x",0.0344827586206897,0.0689655172413793,1.99710838568152
"comprehension.strategies.x",0.0344827586206897,0.0689655172413793,1.99710838568152
"modified.input.x",0.0344827586206897,0.0689655172413793,1.99710838568152
"discourse.analysis.1.x",0.0344827586206897,0.0689655172413793,1.99710838568152
"feedback.x",0.482758620689655,0.896551724137931,1.85696534289326
"syntax.x",0.241379310344828,0.448275862068966,1.85678790215482
"accent.x",0.206896551724138,0.379310344827586,1.83293075013743
"previous.knowledge.x",0.379310344827586,0.689655172413793,1.81796617255451
"comprehensible.x",0.379310344827586,0.689655172413793,1.81796617255451
"input.hypothesis.x",0.172413793103448,0.310344827586207,1.799536268964
"rhythm.x",0.172413793103448,0.310344827586207,1.799536268964
"linguistic.competence.x",0.275862068965517,0.482758620689655,1.74972822351897
"routines.x",0.137931034482759,0.241379310344828,1.74945664393315
"zone.of.proximal.development.x",0.310344827586207,0.517241379310345,1.66645192104766
"phonetics.x",0.103448275862069,0.172413793103448,1.66602284458357
"sociocultural.theory.x",0.275862068965517,0.448275862068966,1.62477351959915
"monitor.hypothesis.x",0.172413793103448,0.275862068965517,1.599652201723
"accuracy.x",0.413793103448276,0.655172413793103,1.58319239517117
"learning.strategies.x",0.241379310344828,0.379310344827586,1.57119193476988
"noticing.x",0.241379310344828,0.379310344827586,1.57119193476988
"hypothesis.x",0.379310344827586,0.586206896551724,1.54531078170301
"second.language.acquisition.x",0.413793103448276,0.620689655172414,1.499879195861
"contrastive.analysis.x",0.137931034482759,0.206896551724138,1.4996377626221
"affective.filter.hypothesis.x",0.137931034482759,0.206896551724138,1.4996377626221
"linguistic.form.x",0.0689655172413793,0.103448275862069,1.49927604972789
"confirmation.checks.x",0.0689655172413793,0.103448275862069,1.49927604972789
"technique.x",0.517241379310345,0.758620689655172,1.46657646188404
"word.x",0.689655172413793,0.96551724137931,1.39994200840878
"common.european.framework.of.reference.for.languages.x",0.172413793103448,0.241379310344828,1.399768134482
"social.context.x",0.172413793103448,0.241379310344828,1.399768134482
"text.x",0.689655172413793,0.931034482758621,1.34994925735768
"output.x",0.448275862068966,0.586206896551724,1.30762368394743
"syllabus.x",0.448275862068966,0.586206896551724,1.30762368394743
"learning.styles.x",0.379310344827586,0.482758620689655,1.2726553908515
"usage.x",0.379310344827586,0.482758620689655,1.2726553908515
"structuralism.x",0.275862068965517,0.344827586206897,1.24990940783966
"monitor.model.x",0.137931034482759,0.172413793103448,1.24981888131105
"generative.linguistics.x",0.172413793103448,0.206896551724138,1.199884067241
"drill.x",0.172413793103448,0.206896551724138,1.199884067241
"strategies.x",0.758620689655172,0.896551724137931,1.1817942180349
"communicative.competence.x",0.586206896551724,0.689655172413793,1.17644048956355
"focus.on.form.x",0.206896551724138,0.241379310344828,1.16658615002749
"interactive.approach.x",0.206896551724138,0.241379310344828,1.16658615002749
"input.x",0.793103448275862,0.862068965517241,1.08694555903821
"input.1.x",0.793103448275862,0.862068965517241,1.08694555903821
"interaction.x",0.896551724137931,0.96551724137931,1.0769144979983
"form.x",0.931034482758621,1,1.07406611882427
"context.x",0.96551724137931,1,1.03571058711776
"total_term_appearance.x",1,1,1
"total_term_appearance_normalized.x",1,1,1
"language.functions.x",0.310344827586207,0.310344827586207,1
"meaning.and.use.x",0.137931034482759,0.137931034482759,1
"displacement.x",0.0344827586206897,0.0344827586206897,1
"creative.nature.of.language.x",0,0,1
"conventional.nature.of.language.x",0,0,1
"polysemy.x",0,0,1
"X.x",0,0,1
"English.as.lingua.franca.x",0,0,1
"mutual.intelligibility.x",0,0,1
"stereotype.x",0,0,1
